years,months,English,German & related,French & related,Italian & related,Spanish & related,Russian,Arabic,Chinese,Japanese,Korean
2010,3,1995,149,460,165,797,69,50,284,140,34
2010,4,1996,177,430,163,793,95,53,286,167,24
2010,5,1706,163,418,137,736,90,62,290,159,41
2010,6,1907,202,421,175,786,115,50,356,174,51
2010,7,1932,216,440,160,883,97,67,380,217,51
2010,8,1694,172,441,196,824,96,62,401,180,48
2010,9,1593,135,370,133,685,69,62,303,147,37
2010,10,1902,160,365,171,860,83,71,359,143,46
2010,11,1593,182,362,113,715,104,48,277,118,37
2010,12,1636,154,320,118,673,81,50,250,103,32
2011,1,1885,188,458,185,837,84,59,344,155,39
2011,2,1732,145,356,162,773,68,53,349,137,36
2011,3,1856,142,426,201,820,77,52,355,184,44
2011,4,1720,151,413,226,744,70,60,278,143,38
2011,5,1612,157,348,194,665,60,59,264,133,39
2011,6,1729,199,413,185,767,69,74,356,139,41
2011,7,1630,165,388,209,708,67,60,313,141,33
2011,8,1504,166,361,154,643,83,52,289,119,34
2011,9,1391,108,310,128,599,50,47,312,111,28
2011,10,1628,146,387,176,780,70,39,287,143,38
2011,11,1442,107,318,130,636,55,47,238,104,28
2011,12,1488,99,249,112,528,72,62,248,95,30
2012,1,1365,150,381,146,598,58,43,248,99,24
2012,2,1458,140,330,134,625,57,49,272,122,35
2012,3,1542,150,353,158,619,63,58,254,156,48
2012,4,1414,136,301,144,666,61,42,260,110,34
2012,5,1333,143,311,132,601,71,69,228,92,38
2012,6,1417,153,349,137,630,74,66,258,136,38
2012,7,1659,146,391,153,697,62,56,280,123,52
2012,8,1240,163,282,129,512,62,42,258,133,31
2012,9,1367,130,281,136,578,48,47,241,126,28
2012,10,1583,121,319,115,672,50,40,282,139,38
2012,11,1328,138,251,128,591,59,49,237,92,33
2012,12,1235,95,236,71,462,44,38,169,97,35
2013,1,1590,157,356,127,695,80,70,247,123,41
2013,2,1498,123,319,137,546,58,41,233,90,26
2013,3,1630,181,373,173,684,69,71,258,105,30
2013,4,1653,175,349,128,622,72,52,209,101,36
2013,5,1280,152,301,120,557,51,41,185,67,24
2013,6,1424,114,304,132,654,59,32,209,124,45
2013,7,1260,117,318,122,558,55,61,246,128,31
2013,8,1263,120,322,124,604,51,47,245,130,40
2013,9,1387,108,297,118,616,54,54,228,105,20
2013,10,1392,109,276,130,602,47,32,216,102,22
2013,11,1258,125,297,87,564,48,30,205,95,19
2013,12,1081,92,201,97,381,46,29,140,89,26
2014,1,1374,108,259,147,561,62,48,234,89,25
2014,2,1121,106,265,146,515,42,49,159,92,23
2014,3,1109,118,317,128,529,45,41,243,81,15
2014,4,1143,109,263,156,455,46,31,168,99,19
2014,5,1010,105,240,137,447,51,39,168,82,16
2014,6,1050,120,299,131,527,46,26,211,99,23
2014,7,1124,139,298,152,522,47,49,213,124,31
2014,8,1097,113,254,119,475,37,31,190,96,22
2014,9,1140,96,265,118,421,28,40,202,101,29
2014,10,1238,118,279,114,532,31,36,193,72,20
2014,11,1019,91,226,107,476,31,31,140,71,25
2014,12,930,89,246,81,359,29,43,108,74,22
2015,1,1017,102,365,123,458,39,37,163,128,17
2015,2,962,111,270,89,407,27,26,117,97,16
2015,3,1040,121,321,143,447,34,35,158,100,20
2015,4,1009,122,304,96,426,26,38,157,82,18
2015,5,971,126,230,123,326,16,22,155,69,10
2015,6,999,117,246,120,383,24,47,162,102,23
2015,7,968,132,259,146,387,22,18,162,91,24
2015,8,968,114,240,122,424,19,37,133,94,12
2015,9,1061,120,229,93,419,29,34,178,101,20
2015,10,1161,127,224,95,416,35,35,145,67,25
2015,11,1028,97,196,86,360,29,21,128,85,21
2015,12,887,78,172,55,315,46,33,87,62,12
2016,1,990,86,228,107,413,64,31,137,83,11
2016,2,882,99,195,116,369,28,29,138,61,24
2016,3,988,96,165,72,368,29,51,126,81,22
2016,4,909,76,209,106,336,26,37,105,81,13
2016,5,796,101,185,89,299,30,24,96,68,23
2016,6,797,102,198,85,310,13,30,142,71,17
2016,7,818,121,225,96,305,41,33,119,102,21
2016,8,837,112,211,105,300,31,27,125,77,23
2016,9,881,100,194,115,375,24,18,109,65,14
2016,10,927,108,198,85,357,26,30,106,76,25
2016,11,919,87,192,64,360,28,46,134,58,17
2016,12,754,65,207,65,286,32,24,123,73,9
2017,1,891,113,245,95,384,42,24,138,120,31
2017,2,544,48,135,58,190,20,8,75,36,15
2017,3,933,127,224,103,355,33,24,127,91,13
2017,4,816,71,232,75,286,25,29,115,61,12
2017,5,793,77,186,114,370,29,21,88,75,18
2017,6,760,58,200,113,274,32,19,135,74,32
2017,7,828,84,210,99,340,41,33,119,56,21
2017,8,848,84,182,106,259,27,21,76,75,23
2017,9,877,72,195,79,329,28,20,147,67,25
2017,10,850,88,187,94,363,27,33,101,83,25
2017,11,735,82,198,71,311,24,14,87,65,23
2017,12,578,52,131,54,219,26,17,128,48,30
2018,3,264,34,67,24,97,10,1,26,31,5
2018,4,847,79,212,83,305,31,23,68,84,24
2018,5,601,95,211,91,250,35,22,80,62,13
2018,6,722,85,162,76,257,29,14,93,74,26
2018,7,681,104,239,106,362,39,25,100,81,41
2018,8,486,60,145,66,208,23,17,69,63,22
2018,9,190,22,39,12,62,9,9,22,30,7
2018,10,710,69,197,99,339,30,28,102,65,23
2018,11,650,74,168,70,304,24,22,103,60,25
2018,12,621,92,157,67,273,22,9,79,78,17
