years,months,English,German & related,French & related,Italian & related,Spanish & related,Russian,Arabic,Chinese,Japanese,Korean
2011,3,32.3232,46.3487,31.4828,31.5882,32.8632,31.6957,25.8511,32.1066,37.046,42.8293
2011,4,31.7554,35.3824,31.8832,32.9188,31.7496,30.9143,35.0588,30.8524,36.8207,44.4091
2011,5,28.4728,31.9935,33.3627,28.4663,32.1015,35.5208,36.5769,29.9843,36.3681,41.6452
2011,6,26.6385,27.875,28.0393,27.9903,27.3311,29.7288,29.1912,25.5598,30.2248,33.5
2011,7,25.9413,25.2632,24.1757,25.5707,27.7557,30.0577,24.4468,23.3056,26.6239,30.2069
2011,8,30.9201,26.6195,28.2638,25.9841,28.6483,26.9535,22.75,31.8024,26.7761,43.9091
2011,9,24.1691,27.5714,23.4783,20.6286,24.2097,24,33.28,24.6848,18.5373,37.6111
2011,10,28.8125,26.699,22.9025,21.448,23.3082,30.8444,25.4595,27.171,29.8791,32.6842
2011,11,24.549,28.5714,25.8325,27.369,26.7748,26.1136,25.6552,25.3742,26.8148,30.125
2011,12,25.0554,28.1818,23.1404,27.3837,25.8252,25.5686,22.5556,24.2649,23.0303,33.9091
2012,1,26.4392,28.0192,24.1277,28.6196,24.4493,26.6905,16.5,24.8902,24.6615,34.3889
2012,2,25.6225,29.3438,23.4421,29.3483,27.2293,25.1481,32.4242,25.5848,22.3038,26.5263
2012,3,24.1014,31.4646,23.8968,28.3772,25.2249,24.72,28,27.6335,29.2333,19.3793
2012,4,25.0256,24.5,23.9662,22.7938,22.608,26.4286,27.1765,24.8467,35.5362,26.1429
2012,5,25.5165,22.3125,25.8426,26.8675,25.5953,22.7111,29.3043,24.8867,25.1184,25.4583
2012,6,25.578,23.3708,24.9915,25.2308,23.7473,27.1379,22.0588,26.96,26.0515,27.5
2012,7,26.9853,23.3647,24.9237,27.5495,26.4881,28.4211,25.7241,27.1943,28.3563,37.125
2012,8,30.5512,28.1458,33.6613,28.1807,32.5085,36.7273,28.0476,29.021,28.5368,34.76
2012,9,28.2494,31.6341,24.3523,28.0198,24.9109,22.4194,28.125,23.7548,19.9091,24.4737
2012,10,26.0797,33.9524,25.4848,29.5714,24.5667,27.5,26.7742,26.2597,24.8041,30.2609
2012,11,24.1766,23.557,27.5774,23.2857,24.9169,21.5385,32.7,21.1364,28.55,28.0526
2012,12,25.9773,25.197,28.5346,23.8889,25.0945,30.3077,25.9643,27.6737,23.7937,35.4737
2013,1,26.8216,24.2451,22.1696,24.9688,25.6728,28.4561,16.9091,21.8774,30.375,32.8571
2013,2,25.9021,25.7333,25.2615,25.697,23.9913,26.4878,22.8077,24.0963,27.2833,46.2727
2013,3,24.6369,27.9717,22.8395,24.4729,27.3733,24.2727,27.5682,23.7628,21.0597,23.1765
2013,4,25.206,25.4434,24.0885,27.0108,25.3333,36.8333,32.3429,28.1846,28.2879,38.6957
2013,5,25.4738,25.6429,26.6294,32.0597,25.8291,27.9412,34.6923,26.5229,23.4,24.4118
2013,6,26.0103,24.0132,22.3978,22.6173,26.198,32.3824,40,34.8017,25.1412,25.6429
2013,7,24.9549,24.3684,22.9619,28.75,24.4793,22,24.5,26.9733,25.8056,39.6842
2013,8,24.8474,26.7439,20.9825,21.519,23.0846,24.2222,19.4483,26.3355,24.4795,27.0435
2013,9,25.5285,26.96,24.3276,19.7215,23.0138,26.1563,29.5122,21.4672,23.8734,20.0833
2013,10,27.9989,22.2805,23.4171,27.0233,25.5833,27.2759,29.8095,25.1984,26.403,23.8889
2013,11,23.7665,24.8974,26.1222,24.4262,25.1509,32.4524,21.5789,27.8992,24.1864,26.8
2013,12,28.1355,27.4151,27.7438,27.2034,23.9181,20.8214,32.5385,23.6023,27.6296,33.9333
2014,1,29.3304,29.2625,28.1404,28.1818,28.7178,27.6364,31.3448,29.3397,26.463,44.7692
2014,2,27.4254,26.9474,23.6936,25.6804,23.4895,25.303,23.9,31.24,30.4545,28.5
2014,3,26.8602,27.931,26.2438,22.163,25.5043,56.7838,26.5185,24.3681,22.1786,39.2
2014,4,27.3377,25.1029,24.5353,26.5789,26.2006,25.069,26.75,30.2088,23.3729,23.6667
2014,5,30.1616,27.2453,21.9054,27.3978,25.4362,23.9744,24.3333,26.08,24.5,26.2
2014,6,26.3259,24.2824,25.8681,24.8333,22.3938,25.2333,30.4667,32.5574,20.1791,27.9286
2014,7,25.8023,19.5057,23.8077,24.8081,26.3467,24.2,30.5,25.4113,25.2821,22.1111
2014,8,26.6468,21.7761,24.939,28.0375,28.4052,27.7143,26.9048,25.1667,22.9153,21.8333
2014,9,27.5876,30.0577,27.0968,27.1786,23.36,33.1765,27.4783,29.4159,19.5441,29.6111
2014,10,28.2964,25.5422,23.9293,24.8313,25.822,24.7083,37.0909,26.2034,26.8627,32.9375
2014,11,28.6641,25.2708,23.8365,26.52,25.0283,27.7368,24.9048,29.4409,24.88,46.7143
2014,12,26.4861,32.7903,27.2785,30.3922,25.9918,38.9048,35.52,26.6282,26.1837,29.2727
2015,1,26.9244,25.7941,23.8848,24.2,26.4533,37.6207,24.125,25.9787,23.7901,25.7273
2015,2,23.941,30.2989,22.9434,25.9636,27.9295,27.3158,17.2,33.4521,25.7031,35.125
2015,3,27.126,27.0405,24.5076,26.0361,23.5039,30,33.3571,22.2073,22.4677,26.0769
2015,4,29.391,30.0533,24.7382,23.7119,28.7091,36.1765,28.5185,26.5534,31.1961,45.2222
2015,5,25.0685,23.8133,22.791,23.5857,28.5286,25.5714,53,27.6129,38.1714,37.1667
2015,6,26.0908,27.4615,21.6899,25.1618,25.5309,23.35,43.4348,26.2609,28.3194,27.85
2015,7,28.2428,24.4889,27.9593,25.172,23.9871,31.15,24.8571,22.86,25.5088,40.6364
2015,8,27.4717,19.5867,24.9799,29.8592,27.0448,47.2222,29.3333,24.6522,26,22
2015,9,25.593,25.7468,26.2381,22.0448,27.6098,19.6957,21.0769,23.1818,32.3731,29.4118
2015,10,26.1614,22.5955,26.1076,26.7222,28.6272,25.5417,32.8125,21.1798,27.2391,19.5
2015,11,26.4499,23.2344,23.9396,26.3065,23.6949,53,24.8333,28.1408,25.623,32.7857
2015,12,29.1429,25.1111,27.3893,29.0233,23.1527,25.92,26.52,26.9474,31.8462,25.2
2016,1,27.459,31.7925,29.3432,26.4063,28.7584,30.2791,23.8571,29.131,22.6977,23.4
2016,2,30.3842,23.3014,26.3813,27.0822,27.2402,20.6316,24.875,27.093,28.1136,26.0714
2016,3,24.3349,29.4727,29.25,27.7708,28.0161,31.4815,34.5313,29.4026,28.3455,30
2016,4,27.6927,23.8364,22.1985,20.7797,25.3283,31.4667,23.6774,28.9524,27.6383,59.25
2016,5,26.0499,31.4154,25.1101,29.1852,25.2154,22.08,37.1579,29.2698,21.3784,22.25
2016,6,26,22.2985,26.0576,25.6667,24.5918,16.5,21.5556,25.4337,28.6809,41.8571
2016,7,26.5147,28.7662,26.3451,30.2609,25.7005,44.6364,23.3478,26.7887,22.5821,26.8571
2016,8,26.9806,29.1842,23.4104,35.8507,30.239,32.7857,26.2105,25.0488,26.5357,33.7857
2016,9,27.8774,27.9143,24.416,26.8333,25.2449,22.0556,25.3077,28.5775,29.125,39.6364
2016,10,26.5405,29.16,23.2336,21.4762,26.0791,22.8889,30.5263,27.541,26.9348,27.5
2016,11,27.7427,21.2759,22.4345,29.2857,26.5,22.6316,23.0333,27.988,22.7419,20.8462
2016,12,24.9401,27.2,28.5401,27.3636,22.9231,33.65,38.7222,22.9077,24.7708,26.5
2017,1,28.2283,31.0588,25.7132,28.8039,26.5625,26.0526,30,26.8714,30.2034,25.4375
2017,2,27.8035,21.6383,24.9648,28.44,27.7941,29.05,32.5,29.4068,28.3143,20.0769
2017,3,25.9398,27.8929,25.9038,23.6471,25.5348,29.1739,28.6471,28.3377,24.9811,38.7778
2017,4,26.9787,27.4423,23.5704,24.1148,27.0552,35.85,43.3333,31.1324,26.4872,23
2017,5,25.9,30.5714,26.0079,25.1067,25.318,21.3636,32.5625,27.6346,33.54,24.1818
2017,6,26.3022,42.7436,30.447,26.4938,24.0585,30.52,26.7778,30.561,27.766,21.125
2017,7,25.4526,28.4375,25.8062,23.678,22.4144,26.0667,22.0952,28.9762,30.8378,15.4375
2017,8,26.9065,34.6923,28.7941,25.9048,24.454,26.3684,30.5625,24.3617,20.26,24.1818
2017,9,28.3449,27.6038,28.3578,25.3019,26.5642,31.0909,25.7,26.95,21,17.7692
2017,10,24.5335,28,26.25,22.6731,24.4744,31.8235,28.0588,26.6094,21.1628,19.6667
2017,11,20.4251,19.4146,21.6771,19.0286,20.381,25.7692,15.125,18.4878,20,18.2727
2017,12,16.6,8.8889,29.8,12.6087,15.3175,5.4,4.5,7.8519,10.4286,26.3636
2018,1,72.4667,69,63.6,84.8333,71.2143,49,58.3333,55,88.6667,63.6667
2018,2,50.5574,67.75,46.973,40.8182,49.84,62.625,51,50.0588,51,50.5
2018,3,28.7178,25.7313,27.4867,30.2157,27.3085,34.2222,32.5,35.3061,23.9,30
2018,4,29.2727,27.1633,26.2014,27.1923,25.5735,25.7143,28.2222,29.975,28.1538,28.4167
2018,5,26.2348,27.3621,25.2171,27.6471,25.9324,30.0417,25.3077,33,23.0667,29.0909
2018,6,26.045,25.339,22.5591,21.2667,23.5357,28.4118,22.3333,19.7414,22.8333,28.5294
2018,7,18.4916,23.9038,18.4762,19.9091,19.8677,24.45,18.5556,19.4348,20.5854,22.4762
2018,8,39.6082,43.2174,26.8246,35.3913,36.6154,19.3571,38.75,39.1429,34.8889,57.25
2018,9,30.7041,33.2581,31.5644,31.0364,30.8436,30.55,34.8667,25.4576,30.6939,32.9091
2018,10,28.4154,32.6522,27.1462,30.7609,28.134,25.6842,30.5714,26.1667,27,29.125
2018,11,26.412,30.3889,29.959,24.4894,28.108,34.1,28.1667,24.3333,23.7949,24.1053
2018,12,25.3107,21.5882,23.6667,21.75,21.3113,20.4,26.8,25.4444,22,23.6429
